publisher_id,name,address
1,Penguin Random House,"1745 Broadway, New York, NY 10019, USA"
2,HarperCollins,"195 Broadway, New York, NY 10007, USA"
3,Simon & Schuster,"1230 Avenue of the Americas, New York, NY 10020, USA"
4,Macmillan,"120 Broadway, New York, NY 10271, USA"
5,Hachette Book Group,"1290 Avenue of the Americas, New York, NY 10104, USA"
6,Scholastic,"557 Broadway, New York, NY 10012, USA"
7,Oxford University Press,"198 Madison Avenue, New York, NY 10016, USA"
8,Pearson Education,"330 Hudson St, New York, NY 10013, USA"
9,Thomson Reuters,"3 Times Square, New York, NY 10036, USA"
10,Wolters Kluwer,"111 Eighth Avenue, New York, NY 10011, USA"
11,Cambridge University Press,"32 Avenue of the Americas, New York, NY 10013, USA"
12,Cengage Learning,"20 Channel Center Street, Boston, MA 02210, USA"
13,McGraw-Hill Education,"2 Penn Plaza, New York, NY 10121, USA"
14,John Wiley & Sons,"111 River St, Hoboken, NJ 07030, USA"
15,Springer Nature,"233 Spring Street, New York, NY 10013, USA"
16,Elsevier,"230 Park Avenue, New York, NY 10169, USA"
17,SAGE Publications,"2455 Teller Road, Thousand Oaks, CA 91320, USA"
18,Taylor & Francis,"52 Vanderbilt Avenue, New York, NY 10017, USA"
19,W. W. Norton & Company,"500 Fifth Avenue, New York, NY 10110, USA"
20,Bloomsbury,"1385 Broadway, New York, NY 10018, USA"
21,Routledge,"711 3rd Avenue, New York, NY 10017, USA"
22,Brill Publishers,"1 Brill Place, Leiden, The Netherlands"
23,Palgrave Macmillan,"175 Fifth Avenue, New York, NY 10010, USA"
24,Princeton University Press,"41 William Street, Princeton, NJ 08540, USA"
25,Chronicle Books,"680 2nd Street, San Francisco, CA 94107, USA"
26,Hay House,"2776 Loker Avenue West, Carlsbad, CA 92010, USA"
27,Rowman & Littlefield,"4501 Forbes Blvd Suite 200, Lanham, MD 20706, USA"
28,New Directions Publishing,"80 8th Avenue, New York, NY 10011, USA"
29,Verso Books,"20 Jay Street, Suite 1010, Brooklyn, NY 11201, USA"
30,Zed Books,"7 Cynthia Street, London N1 9JF, UK"